"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSTGUG00000003938",35.9672193892581,-0.178981125835427,0.148394687952935,-1.20611544998291,0.227772978447943,0.904317260097437
"ENSTGUG00000011987",823.688272804925,0.0145110505154121,0.0791498007114904,0.18333653887906,0.854533966362874,0.997718502514392
"ENSTGUG00000017592",7.23379951438315,0.13606544686555,0.26189266738063,0.519546607495487,0.603379620124005,0.996803614192105
"ENSTGUG00000009442",244.108617142519,-0.0682909084787334,0.08053979951522,-0.847915054293476,0.396485279941047,0.962184672981495
"ENSTGUG00000009764",92.5823724716701,-0.0203727139874981,0.175302477981724,-0.11621463781945,0.907482436057169,0.997718502514392
"ENSTGUG00000015152",50.008360276,0.0110788606193045,0.138899789304629,0.0797615365348528,0.93642691621737,0.997718502514392
"ENSTGUG00000002407",385.633902013344,0.0805360997908491,0.188175174911928,0.42798472130313,0.668662244104737,0.997718502514392
"ENSTGUG00000016201",0.193753172910064,-0.440852858259999,1.26114651649877,-0.349565139730083,0.726665076712559,0.997718502514392
"ENSTGUG00000004296",5148.86201181571,-0.0419008467851288,0.0869265640439302,-0.482025802422759,0.629787616824185,0.997718502514392
"ENSTGUG00000003903",253.156592457426,0.0147887168505364,0.0810861881694897,0.182382686674387,0.855282411968048,0.997718502514392
"ENSTGUG00000013480",1545.62410416574,0.0210288647915851,0.0505898093016507,0.415673928838055,0.677648621251973,0.997718502514392
"ENSTGUG00000008626",392.969442471933,0.11035085464404,0.106824329164979,1.03301238123026,0.301598104562543,0.939642946593262
"ENSTGUG00000014195",0.207519617169581,-0.332564813305359,1.49320925126648,-0.222718157567864,0.823754868588859,0.997718502514392
"ENSTGUG00000013178",56.9332950001424,0.139229267292066,0.0939972418071884,1.48120588024976,0.138551719749644,0.822171857874465
"ENSTGUG00000000082",618.694536513838,-0.0618891571369561,0.037767612728733,-1.63868332323456,0.101279228977938,0.760539842684677
"ENSTGUG00000013526",17.5474054094837,0.0235107299389054,0.20724714868272,0.113442959714242,0.909679382588312,0.997718502514392
"ENSTGUG00000001170",172.550103132817,0.0112127342990644,0.160825813220266,0.0697197425870155,0.944416727705545,0.997718502514392
"ENSTGUG00000002439",184.422093705636,0.13028716647326,0.179210984979951,0.727004354603794,0.467223288153516,0.978285165145083
"ENSTGUG00000000429",283.587397373456,-0.0592859107895113,0.104113536036011,-0.569435186304739,0.56906084385766,0.992701538496657
"ENSTGUG00000008399",284.565383808875,-0.0157872708191877,0.066630499865166,-0.236937601415792,0.812705198695097,0.997718502514392
"ENSTGUG00000006494",1.41224862407799,0.503293307780784,0.448086106721386,1.12320667887551,0.261349726680629,0.927765771063386
"ENSTGUG00000011456",431.185109872629,0.00646205520414943,0.0583240609924922,0.110795700679712,0.911778354722608,0.997718502514392
"ENSTGUG00000012724",550.094482933586,-0.0598360252829138,0.0594107183924742,-1.00715875690359,0.313858489035306,0.944422284730552
"ENSTGUG00000001792",668.248437994776,-0.0598030455491108,0.0529803828966361,-1.12877714881347,0.258991854677909,0.926446169586604
"ENSTGUG00000013981",0.154894370106524,-0.5131216747682,1.90472384842761,-0.269394261636296,0.78762630154737,0.997718502514392
"ENSTGUG00000003712",232.085262926863,0.0799780569126695,0.0992053569239721,0.806186877327222,0.420135104056582,0.967475694783931
"ENSTGUG00000016003",25.2594929113974,0.742409291270643,0.273874442078133,2.71076514346251,0.0067128154605031,0.309154027983704
"ENSTGUG00000001841",627.131011328338,-0.00177949005407862,0.0410238525088206,-0.0433769610910144,0.965401042797678,0.997718502514392
"ENSTGUG00000016859",151.371224088422,-0.182966072101351,0.0614781382940803,-2.97611601747168,0.00291924401389213,0.218879282532834
"ENSTGUG00000009831",1690.15635413636,0.0963708314815709,0.0685168398653231,1.40652767510874,0.159567492562733,0.849379860837443
"ENSTGUG00000002975",1873.22545218762,0.00484779263980746,0.0438243076119337,0.110618807323435,0.911918632929397,0.997718502514392
"ENSTGUG00000005187",98.0504472369969,-0.196593044298903,0.0873068095861673,-2.25174926481395,0.0243381214901358,0.500038444206725
"ENSTGUG00000011992",55.3212140076641,0.0546583710723398,0.129796688133197,0.421107594180288,0.673676516410145,0.997718502514392
"ENSTGUG00000012303",17.575064019727,-0.0121125762966789,0.146676810659783,-0.0825800359456551,0.934185476053081,0.997718502514392
"ENSTGUG00000005172",0.31942845521249,0.0505223069404434,0.937287314984876,0.0539026893170517,0.957012694017765,0.997718502514392
"ENSTGUG00000009791",168.095691687715,-0.127055461311644,0.09710068806478,-1.3084918741964,0.19070652889458,0.879926615776745
"ENSTGUG00000016495",68.2443165328134,0.357565231772217,0.159195444277539,2.24607703690844,0.0246990739122975,0.503254670477624
"ENSTGUG00000013068",22.6150782024531,-0.306401569697081,0.201192167213743,-1.52292991293028,0.127776241074495,0.802482550364826
"ENSTGUG00000004797",2693.79845681612,-0.0668908716103528,0.06700599231768,-0.998281934147302,0.318142665378013,0.944836240416854
"ENSTGUG00000009542",341.798375126208,0.146512664149053,0.0777530546156243,1.88433322489186,0.0595199159456839,0.650155247981767
"ENSTGUG00000003134",1397.11425138698,0.0215655760423592,0.0443024964226436,0.486780154251912,0.62641413572956,0.997718502514392
"ENSTGUG00000003945",5059.21316426786,0.0562223647311874,0.046351366859089,1.2129602326962,0.225145025041733,0.901026274345603
"ENSTGUG00000017534",125.658441614695,-0.0609825335710491,0.185930796189928,-0.327985115003518,0.742922917177472,0.997718502514392
"ENSTGUG00000013705",60.7785697703108,-0.123571800196873,0.178205689340635,-0.693422306852781,0.488044567364379,0.983954931518693
"ENSTGUG00000000500",148.213584107522,-0.0128188840874011,0.0879684105482362,-0.145721447136663,0.884141289730606,0.997718502514392
"ENSTGUG00000010463",1012.92350640076,0.0153480814886028,0.0441499308052401,0.347635459641108,0.728113972381676,0.997718502514392
"ENSTGUG00000012454",186.584832978232,0.072531787709578,0.075104991970323,0.965738572187562,0.334175013171874,0.947404593527168
"ENSTGUG00000013046",1348.89817921745,0.132936947833236,0.0825645584639319,1.61009699932338,0.107376682072823,0.770697489650058
"ENSTGUG00000010039",347.694212267185,-0.00623336387859896,0.0473968629551123,-0.131514270986718,0.895368498010756,0.997718502514392
"ENSTGUG00000013833",3.55219400806621,-0.345698859961201,0.493001889386594,-0.70121203874356,0.483170697909432,0.983954931518693
"ENSTGUG00000001873",647.344585974289,0.0386565123435946,0.0846820277376176,0.456490159439374,0.648037545552221,0.997718502514392
"ENSTGUG00000006638",15.5890925129147,0.414012896107215,0.411077745602555,1.00714013477027,0.313867436627623,0.944422284730552
"ENSTGUG00000008621",2.45997634705243,0.242004237587088,0.392773139721618,0.616142533979312,0.53780045186589,0.987884271169002
"ENSTGUG00000007438",428.071188110459,-0.0184235704328007,0.0469993454366893,-0.391996319557647,0.695060933199626,0.997718502514392
"ENSTGUG00000010591",40.7102122407904,0.0890051699684184,0.0933722076792001,0.953229790541254,0.340473655533082,0.950782275260601
"ENSTGUG00000015709",169.293934962162,0.0234308313224484,0.0579261255483975,0.404495054703286,0.685848713713464,0.997718502514392
"ENSTGUG00000010640",235.004247852726,-0.272263763835838,0.0846249135770157,-3.21730034723232,0.00129403055534275,0.147476348957229
"ENSTGUG00000000516",533.150113869815,-0.0563567336395962,0.134996571984306,-0.417467886859735,0.67633620849818,0.997718502514392
"ENSTGUG00000006544",75.9286434676811,-0.0135006763052304,0.148862424607338,-0.0906923042590618,0.927737085743023,0.997718502514392
"ENSTGUG00000009996",6.16954971188055,0.423933446044066,0.253497524736324,1.67233761546596,0.094457766188295,0.743784206812023
"ENSTGUG00000006313",1.13687978990637,0.143225560808895,0.586958632336687,0.244013040985039,0.807220719910872,0.997718502514392
"ENSTGUG00000009227",1.60064839110052,0.346363778297158,0.400239608461307,0.865391058193188,0.386824187167934,0.961489355096214
"ENSTGUG00000004765",10.013571270315,0.316535282029895,0.277080989709987,1.14239263531289,0.253290851141159,0.919422826897466
"ENSTGUG00000007052",883.496372226241,0.0334902947577748,0.0784278263980333,0.42702056522396,0.669364348813062,0.997718502514392
"ENSTGUG00000015041",114.561441929909,-0.240082639462585,0.152421020605574,-1.57512814511232,0.115226868690656,0.786096305387315
"ENSTGUG00000005163",10.3357826296689,-0.189521060660344,0.226438301282374,-0.836965564513783,0.402611924497796,0.963117329925484
"ENSTGUG00000016252",126.8713802598,0.0462362242702805,0.111984670729257,0.412879941238252,0.679694577966447,0.997718502514392
"ENSTGUG00000008244",35.6455632146653,-0.00339466068464248,0.181144425441419,-0.0187400781247905,0.985048456141209,0.99793636001998
"ENSTGUG00000012839",6.04303715546503,-0.62196700243541,0.300658426630248,-2.06868308800242,0.038575835241629,0.583889510541024
"ENSTGUG00000009241",25.695802060981,-0.820473914449959,0.374953392045486,-2.18820240556839,0.0286548619676878,0.528367417836827
"ENSTGUG00000006633",1720.41170032582,-0.0109500145478787,0.0240148429555804,-0.455968609419292,0.648412551241925,0.997718502514392
"ENSTGUG00000002833",5831.97591971605,0.0351203784244897,0.0561147837147839,0.625866769851542,0.531402332162827,0.987646836108426
"ENSTGUG00000016257",11.2466004700106,0.475719819395958,0.217197517741782,2.19026361047793,0.0285051243217942,0.52737564965484
"ENSTGUG00000003672",1973.59704599805,0.0101918622413721,0.0326886623734714,0.311785845652813,0.755203281759539,0.997718502514392
"ENSTGUG00000015775",42.3747309275253,-0.440710664627901,0.231153140061813,-1.90657442295635,0.0565757198022746,0.641680472353287
"ENSTGUG00000003739",1852.27132439702,0.00588942460053278,0.0368550203720256,0.159799792296495,0.87303878770241,0.997718502514392
"ENSTGUG00000016214",95.3529211124467,-0.191327997841681,0.137729803565948,-1.38915465562302,0.164785726824744,0.85039531565065
"ENSTGUG00000009641",119.147453585961,0.16430873001748,0.0846858204722808,1.94021536428594,0.052353522053591,0.628908346100724
"ENSTGUG00000004387",21.2046317035098,-0.16940861733131,0.218487505472163,-0.775369817899699,0.43812116449628,0.971886314512954
"ENSTGUG00000012427",324.760132753829,0.0191968418204914,0.0500687283808925,0.383409813695557,0.701415928011996,0.997718502514392
"ENSTGUG00000005894",603.769626972135,0.0206030513812441,0.0654681228769512,0.314703560692705,0.752986740488856,0.997718502514392
"ENSTGUG00000012435",1223.35305852154,0.0495784581759881,0.0451865817910599,1.09719426012873,0.272556481773461,0.930714065806532
"ENSTGUG00000010167",623.308624929464,-0.0328500813233469,0.0444628360800141,-0.73882109688709,0.460015639420752,0.977924798557343
"ENSTGUG00000012412",947.129087665183,0.0303940858870388,0.0732170400240215,0.4151231172015,0.678051777243865,0.997718502514392
"ENSTGUG00000010347",2286.81231316529,0.000596467951217637,0.0312779595315135,0.0190699124927468,0.984785333416668,0.997933799618987
"ENSTGUG00000010166",17.0441021116419,0.188428513618527,0.163734141437443,1.15081993263157,0.2498063227447,0.919422826897466
"ENSTGUG00000014575",4.28206217702539,-0.0355082829523596,0.279286950569845,-0.127139069261596,0.898830329553537,0.997718502514392
"ENSTGUG00000012693",35.1114412970771,0.200874312821112,0.162416407237584,1.23678584102203,0.216166599976751,0.896716337442991
"ENSTGUG00000008500",275.477638476431,-0.0152447335139083,0.0909754329247917,-0.167569782564387,0.866921745030062,0.997718502514392
"ENSTGUG00000012907",487.872062658172,0.00420371442906497,0.116926597138395,0.0359517383721466,0.971320841252073,0.997718502514392
"ENSTGUG00000012405",471.209488213148,0.122228931997178,0.0502648563794674,2.43169762735275,0.015028247326908,0.426918906152917
"ENSTGUG00000013518",83.9732166504847,-0.338392232499823,0.171245849791143,-1.97606092592922,0.0481478772172213,0.615240818642488
"ENSTGUG00000010753",157.648032096692,-0.0978014378999149,0.0977825364176718,-1.00019330120628,0.317216970438366,0.944836240416854
"ENSTGUG00000014777",258.750190388133,0.173892508641137,0.132371344468328,1.31367184748012,0.18895665884658,0.879209059058871
"ENSTGUG00000009262",98.9610205078409,0.0678300307166405,0.175999498383999,0.385399000221282,0.699941823187476,0.997718502514392
"ENSTGUG00000009919",119.035908635888,0.0851816127452145,0.0705956588619004,1.20661261780766,0.227581365161931,0.904067158740781
"ENSTGUG00000006360",238.398288984758,-0.0630475643020603,0.0753088863572567,-0.837186251871658,0.402487884058179,0.963117329925484
"ENSTGUG00000011026",98.816028515482,0.145021318528958,0.0826383585361207,1.75489108324399,0.0792779396663272,0.708445571665376
"ENSTGUG00000004195",535.082415073838,-0.0286399374993225,0.0498701129139557,-0.574290608660481,0.565771163213337,0.992701538496657
"ENSTGUG00000015092",57.1766293505497,0.449567320365704,0.108827099599804,4.13102363307415,3.61151446681973e-05,0.0219309610508096
"ENSTGUG00000003802",17.3497497960126,0.163794482887302,0.27821309628888,0.588737500398716,0.556037377657499,0.991898762708263
